Id,TrueLabel,PredLabel
2,0,2
3,0,2
4,0,0
8,0,0
11,0,0
16,0,0
21,0,0
22,0,0
23,0,0
25,0,0
26,0,0
27,0,1
31,0,0
34,0,0
36,0,0
37,0,0
38,0,0
44,0,0
46,0,0
50,0,0
51,0,0
53,0,0
55,0,3
57,0,0
58,0,0
61,0,0
64,0,0
65,0,0
69,0,0
72,0,0
73,0,0
75,0,0
76,0,0
77,0,2
78,0,0
84,0,0
87,1,1
88,1,1
95,1,2
97,1,2
98,1,1
104,1,2
105,1,2
110,1,2
115,1,1
116,1,1
117,1,2
119,1,2
122,1,1
127,1,3
130,1,2
131,1,2
135,1,1
137,1,1
138,1,1
141,1,2
142,1,1
144,1,2
145,1,1
149,1,1
150,1,2
152,1,2
153,1,2
154,1,1
156,1,2
157,1,1
167,1,2
171,2,1
177,2,2
178,2,2
179,2,2
182,2,2
183,2,2
184,2,2
185,2,1
191,2,2
194,2,2
195,2,3
196,2,1
197,2,2
199,2,2
200,2,3
201,2,1
203,2,2
204,2,2
206,2,2
210,2,2
211,2,3
213,2,2
216,2,2
217,2,2
218,2,2
220,2,2
221,2,1
227,2,2
232,2,2
235,2,1
236,2,1
240,2,2
241,2,2
242,2,0
244,2,2
249,2,2
253,3,3
254,3,3
255,3,3
260,3,3
263,3,3
264,3,3
265,3,3
266,3,3
267,3,3
270,3,3
277,3,2
279,3,3
280,3,2
281,3,1
282,3,3
283,3,1
289,3,3
297,3,3
298,3,2
300,3,3
302,3,3
303,3,2
304,3,3
309,3,3
310,3,3
314,0,0
317,0,0
318,0,0
320,0,0
322,0,0
326,0,0
328,0,0
333,0,0
334,0,0
337,0,0
338,0,0
339,0,0
341,0,0
347,0,0
349,0,0
353,0,0
354,0,0
355,0,0
357,0,0
358,0,0
360,0,0
368,0,0
370,1,2
372,1,1
378,1,1
380,1,2
381,1,0
382,1,2
385,1,1
387,1,1
388,1,1
391,1,1
392,1,1
394,1,1
396,1,1
399,1,2
401,1,2
402,1,1
403,1,1
406,1,2
410,1,3
414,1,2
415,1,2
417,1,1
419,1,2
422,1,1
428,2,2
429,2,2
430,2,2
432,2,2
440,2,2
451,2,2
453,2,2
454,2,1
455,2,2
456,2,2
457,2,2
461,2,1
462,2,2
466,2,0
469,2,2
472,2,3
477,2,2
478,2,2
479,2,1
482,3,3
484,3,3
485,3,3
486,3,3
487,3,3
490,3,3
491,3,2
493,3,2
496,3,1
497,3,3
504,3,1
506,3,3
509,3,3
513,3,3
517,3,3
