Id,TrueLabel,PredLabel
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,1.0,2.0
370,1.0,1.0
371,1.0,1.0
372,1.0,2.0
373,1.0,1.0
374,1.0,1.0
375,1.0,2.0
376,1.0,1.0
377,1.0,1.0
378,1.0,1.0
379,1.0,1.0
380,1.0,1.0
381,1.0,2.0
382,1.0,1.0
383,1.0,1.0
384,1.0,1.0
385,1.0,1.0
386,1.0,1.0
387,1.0,1.0
388,1.0,1.0
389,1.0,2.0
390,1.0,1.0
391,1.0,2.0
392,1.0,1.0
393,1.0,1.0
394,1.0,1.0
395,1.0,1.0
396,1.0,1.0
397,1.0,1.0
398,1.0,2.0
399,1.0,2.0
400,1.0,1.0
401,1.0,1.0
402,1.0,2.0
403,1.0,1.0
404,1.0,2.0
405,1.0,2.0
406,1.0,2.0
407,1.0,1.0
408,1.0,1.0
409,1.0,1.0
410,1.0,3.0
411,1.0,1.0
412,1.0,1.0
413,1.0,1.0
414,1.0,2.0
415,1.0,1.0
416,1.0,2.0
417,1.0,2.0
418,1.0,2.0
419,1.0,2.0
420,1.0,1.0
421,1.0,1.0
422,1.0,1.0
423,1.0,2.0
424,1.0,1.0
425,2.0,2.0
426,2.0,1.0
427,2.0,2.0
428,2.0,2.0
429,2.0,1.0
430,2.0,2.0
431,2.0,2.0
432,2.0,2.0
433,2.0,2.0
434,2.0,2.0
435,2.0,2.0
436,2.0,2.0
437,2.0,1.0
438,2.0,2.0
439,2.0,2.0
440,2.0,1.0
441,2.0,1.0
442,2.0,1.0
443,2.0,2.0
444,2.0,2.0
445,2.0,2.0
446,2.0,2.0
447,2.0,2.0
448,2.0,2.0
449,2.0,2.0
450,2.0,2.0
451,2.0,2.0
452,2.0,2.0
453,2.0,2.0
454,2.0,1.0
455,2.0,1.0
456,2.0,1.0
457,2.0,2.0
458,2.0,2.0
459,2.0,2.0
460,2.0,2.0
461,2.0,1.0
462,2.0,2.0
463,2.0,2.0
464,2.0,1.0
465,2.0,1.0
466,2.0,2.0
467,2.0,2.0
468,2.0,2.0
469,2.0,2.0
470,2.0,2.0
471,2.0,1.0
472,2.0,3.0
473,2.0,2.0
474,2.0,2.0
475,2.0,2.0
476,2.0,2.0
477,2.0,2.0
478,2.0,1.0
479,2.0,2.0
480,2.0,2.0
481,3.0,3.0
482,3.0,2.0
483,3.0,3.0
484,3.0,3.0
485,3.0,3.0
486,3.0,3.0
487,3.0,3.0
488,3.0,3.0
489,3.0,3.0
490,3.0,3.0
491,3.0,3.0
492,3.0,3.0
493,3.0,3.0
494,3.0,3.0
495,3.0,3.0
496,3.0,3.0
497,3.0,1.0
498,3.0,3.0
499,3.0,3.0
500,3.0,3.0
501,3.0,3.0
502,3.0,3.0
503,3.0,3.0
504,3.0,1.0
505,3.0,3.0
506,3.0,3.0
507,3.0,2.0
508,3.0,3.0
509,3.0,3.0
510,3.0,3.0
511,3.0,3.0
512,3.0,3.0
513,3.0,3.0
514,3.0,3.0
515,3.0,3.0
516,3.0,3.0
517,3.0,3.0
518,3.0,3.0
519,3.0,3.0
520,3.0,3.0
